Monterrey,Nuevo_Laredo,230,3790,5578,3851,5222
Morelia,Playa_Azul,369,3668,7030,3488,7309
Morelia,Salamanca,111,3668,7030,3625,6883
Nogales,Nogales_AZ,1,1912,4380,1912,4377
Nogales,Santa_Ana,147,1912,4380,1838,4499
Nuevo_Laredo,Piedras_Negras,164,3851,5222,3686,4966
Oaxaca,Izucar_de_Matamoros,121,4483,7539,4257,7299
Oaxaca,Puerto_Angel,170,4483,7539,4561,7754
Oaxaca,Tehuacan,140,4483,7539,4376,7283
Pachuca,Tuxpan,261,4100,6810,4283,6614
Pinotepa_Nacional,Acapulco,259,4309,7693,3970,7565
Playa_Azul,Zihuatanejo,122,3488,7309,3683,7456
Puebla,Cordoba,188,4242,7152,4518,7139
Puebla,Izucar_de_Matamoros,115,4242,7152,4257,7299
Puerto_Angel,Pinotepa_Nacional,387,4561,7754,4309,7693
Puerto_Vallarta,Manzanillo,267,2839,6784,3045,7078
Reynosa,Nuevo_Laredo,237,4106,5536,3851,5222
Salamanca,Queretaro,87,3625,6883,3868,6765
Saltillo,Huizache,344,3607,5638,3810,6298
Saltillo,Monclova,203,3607,5638,3564,5395
Saltillo,Monterrey,86,3607,5638,3790,5578
San_Felipe,Ensenada,251,1177,4378,957,4182
San_Luis_Potosi,Aguascalientes,188,3987,6419,3410,6528
San_Luis_Potosi,Queretaro,205,3987,6419,3868,6765
San_Luis_Potosi,Zacatecas,128,3987,6419,3401,6301
San_Quintin,Santa_Rosalia,605,1061,4474,1592,5213
Santa_Ana,Sonoita,362,1838,4499,1479,4176
Santa_Rosalia,Santo_Domingo,317,1592,5213,1661,5664
Santo_Domingo,La_Paz,236,1661,5664,1911,5965
Tampico,Queretaro,380,4208,6394,3865,6758
Tampico,San_Luis_Potosi,254,4208,6394,3987,6419
Tapachula,Thehuantepec,418,5330,7830,5156,7523
Tehuacan,Cordoba,120,4376,7283,4518,7139
Tehuacan,Puebla,90,4376,7283,4242,7152
Tehuantepec,Oaxaca,264,4785,7629,4483,7539
Tehuantepec,Puerto_Angel,194,4785,7629,4561,7754
Tehuantepec,Tuxtla_Gutierrez,275,4785,7629,5156,7523
Tepic,Puerto_Vallarta,169,2926,6586,2839,6784
Toluca,Atlacomulco,67,3964,7062,3938,6934
Toluca,Morelia,243,3964,7062,3668,7030
Topolobampo,Ciudad_Obregon,201,2233,5520,2038,5174
Torreon,Chihuahua,460,3262,5674,2717,4947
Torreon,Saltillo,277,3262,5674,3607,5638
Tuxpan,Tampico,193,4283,6614,4208,6394
Tuxpan,Veracruz,313,4283,6614,4576,7072
Tuxtla_Gutierrez,Villa_Hermosa,395,5156,7523,5254,7254
Veracruz,Alvarado,150,4576,7072,4686,7219
Veracruz,Jalapa,119,4576,7072,4442,6973
Victoria,Corpus_Christi,93,4270,4956,4193,5160
Victoria,Laredo_TX,187,4270,4956,3850,5231
Villa_Hermosa,Francisco_Escarcega,304,5254,7254,5646,7059
Zacatecas,Aguascalientes,128,3401,6301,3410,6528
Zacatecas,Durango,289,3401,6301,3010,6064
Zacatecas,Guadalajara,318,3401,6301,3236,6794
Zacatecas,Saltillo,363,3401,6301,3607,5638
Zacatecas,Torreon,376,3401,6301,3262,5674
Zihuatanejo,Acapulco,239,3683,7456,3970,7565
